sparsity,1000,10000,100000,1000000
0.01,0.0055,0.0054,0.0065,0.0112
,0.0046,0.0048,0.0117,0.0245
,0.0042,0.0042,0.0046,0.0062
,0.0047,0.0064,0.0094,0.0112
,0.0058,0.0078,0.0074,0.0104
,0.0062,0.005,0.0107,0.0091
,0.0045,0.005,0.0062,0.0122
,0.0043,0.0041,0.0048,0.01
,0.0049,0.0049,0.0056,0.0183
,0.0053,0.0073,0.0097,0.0108
0.05,0.0054,0.0053,0.0163,0.0255
,0.0047,0.0049,0.0055,0.01
,0.0041,0.0043,0.0068,0.0088
,0.0062,0.0074,0.0089,0.0754
,0.0048,0.0067,0.0146,0.0082
,0.0048,0.0049,0.066,0.0079
,0.0066,0.0068,0.0063,0.0138
,0.0049,0.0048,0.0055,0.0063
,0.0055,0.0051,0.0062,0.0068
,0.0055,0.0059,0.0918,0.0076
0.1,0.0055,0.0076,0.0086,0.0092
,0.0049,0.0049,0.0057,0.0077
,0.005,0.005,0.006,0.0074
,0.0054,0.0056,0.0086,0.0108
,0.0047,0.0048,0.015,0.1299
,0.0055,0.0057,0.0058,0.0116
,0.0054,0.0053,0.0184,0.0099
,0.0042,0.0048,0.0106,0.0092
,0.0041,0.0043,0.0129,0.043
,0.0043,0.0043,0.007,0.0106
